predictor,cov_ln_ind,cov_ln_big,cov_raw_ind,cov_raw_big,ooe_bias,ooe_cov,ooe_unsafe,width_factor_ln
ACI318-19,0.931,0.969,0.901,0.717,0.984,0.176,0.558,2.234
CSCT,0.923,0.953,0.908,0.726,1.034,0.159,0.43,1.927
MCFT,0.914,0.926,0.897,0.632,0.928,0.164,0.744,1.907
fib-MC2010,0.913,0.921,0.897,0.617,0.92,0.165,0.756,1.907
ML-HistGB,0.906,0.351,0.908,0.329,1.875,0.531,0.133,1.707
ML-RF,0.914,0.339,0.902,0.303,2.214,0.584,0.105,1.997
