,model,interp,extrap,bias,cov,unsafe
size,HistGB,0.9224806201550387,0.047619047619047616,2.265743696870556,0.3065078290267667,0.010582010582010581
size,RF,0.8759689922480621,0.021164021164021163,2.1694033386376574,0.27321078008612637,0.0
axial,HistGB,0.9285714285714285,0.7910447761194029,1.108222325476013,0.3623544213402021,0.48756218905472637
axial,RF,0.9365079365079364,0.8109452736318409,1.1895154681127535,0.47457249341614266,0.47761194029850745
