d_lo,d_hi,d_mid,n,n_inside,n_routed,beta_ml,beta_mcft,beta_a19,beta_protocol,beta_protocol_a19,cal_cov_ml,cal_cov_mcft,cal_cov_a19,util_ml,util_mcft,util_a19,d_train_max
0,150,75.0,211,211,0,4.012810811118254,4.3286883764913116,4.3286883764913116,4.012810811118253,4.012810811118253,0.14663283434840843,0.20020839837189067,0.2370079816050397,0.47715921401977535,0.4043971061706544,0.3532599449157714,275.0
150,250,200.0,237,237,0,4.012810811118254,3.3510698309469955,3.8461261445426884,4.012810811118254,4.012810811118254,0.14663283434840843,0.20020839837189067,0.2370079816050397,0.47715921401977535,0.4043971061706544,0.3532599449157714,275.0
250,400,325.0,588,426,162,2.880138904091272,4.033295694977392,4.10747965458625,4.280797816234046,4.280797816234046,0.14663283434840843,0.20020839837189067,0.2370079816050397,0.47715921401977535,0.4043971061706544,0.3532599449157714,275.0
400,650,525.0,69,0,69,1.8218351670019148,4.417173413469023,4.564787730280885,4.417173413469023,4.564787730280885,0.14663283434840843,0.20020839837189067,0.2370079816050397,0.47715921401977535,0.4043971061706544,0.3532599449157714,275.0
650,2000,900.0,68,0,68,2.247000424205697,4.3286883764913116,4.3286883764913116,4.3286883764913116,4.3286883764913116,0.14663283434840843,0.20020839837189067,0.2370079816050397,0.47715921401977535,0.4043971061706544,0.3532599449157714,275.0
