bin_lo,bin_hi,x_mid,ml_ratio_mean,ml_n,mech_ratio_mean,mech_n,d_hi
0,150,75.0,0.948235145927475,31,2.2082561244240297,31,325.25
150,225,187.5,1.0176302033184703,89,1.7665761724193758,89,325.25
225,300,262.5,0.9739377547870622,54,1.8919059781621301,54,325.25
300,400,350.0,1.2615520354635004,52,1.900149502006451,52,325.25
400,550,475.0,1.5249634540299255,20,1.5991125648417848,20,325.25
550,1000,775.0,3.430099949198562,14,1.506014945371637,14,325.25
