predictor,q_raw,q_ln,width_factor_ln,cov_raw_ind,cov_ln_ind,cov_raw_big,cov_ln_big,ds,thr,seed,n_big,d_hi,ooe_bias,ooe_cov,ooe_unsafe
ML-HistGB,16.281999700320654,0.24309923097738417,1.6261226876765824,0.9346733668341709,0.8291457286432161,0.43717277486910994,0.42670157068062825,STEEL,0.7,0,382,273.0,1.7091357813533554,0.537051076674914,0.18848167539267016
ML-RF,17.705723368423747,0.2965076531568718,1.809436202302212,0.9447236180904522,0.9095477386934674,0.4214659685863874,0.4319371727748691,STEEL,0.7,0,382,273.0,1.8780433263936445,0.6082362039838685,0.19633507853403143
MCFT,17.095799305360572,0.2865489231550362,1.7737533644840422,0.914572864321608,0.9095477386934674,0.6727748691099477,0.8979057591623036,STEEL,0.7,0,382,273.0,0.9454942558576166,0.17684220241614498,0.6963350785340314
CSCT,17.42128346895764,0.31658513053290704,1.8835725404738772,0.9346733668341709,0.9246231155778895,0.7356020942408377,0.9476439790575916,STEEL,0.7,0,382,273.0,1.0460421739646755,0.17073637414530443,0.4214659685863874
fib-MC2010,17.32696759273024,0.28216311789341386,1.7582627290390833,0.9195979899497487,0.9045226130653267,0.6649214659685864,0.8848167539267016,STEEL,0.7,0,382,273.0,0.9383211687864187,0.17816739769712833,0.7041884816753927
ACI318-19,19.26847114661345,0.3695766922611936,2.0941618139748144,0.9095477386934674,0.8994974874371859,0.7382198952879581,0.9581151832460733,STEEL,0.7,0,382,273.0,0.9777746458944931,0.18389984260462697,0.5863874345549738
ML-HistGB,14.55274872700548,0.2976655846375569,1.8136314645352856,0.8743718592964824,0.9346733668341709,0.4083769633507853,0.46596858638743455,STEEL,0.7,1,382,273.0,1.7345212130236731,0.5763020243230796,0.21204188481675393
ML-RF,16.638447224432724,0.3306360753423796,1.937255248061599,0.8592964824120602,0.8944723618090452,0.39790575916230364,0.42408376963350786,STEEL,0.7,1,382,273.0,2.001508571193409,0.6443064162061084,0.18324607329842932
MCFT,18.407775310611484,0.31962124077370335,1.8950448040393164,0.8743718592964824,0.8793969849246231,0.6884816753926701,0.9293193717277487,STEEL,0.7,1,382,273.0,0.9423803817249109,0.17684220241614498,0.7015706806282722
CSCT,16.98428985477438,0.3079102288491744,1.8511747872739717,0.8844221105527639,0.8894472361809045,0.7277486910994765,0.9345549738219895,STEEL,0.7,1,382,273.0,1.0444204995892332,0.1707363741453044,0.42408376963350786
fib-MC2010,18.060274842504114,0.3190491684104588,1.8928778384178504,0.8693467336683417,0.8844221105527639,0.675392670157068,0.9214659685863874,STEEL,0.7,1,382,273.0,0.934971056416274,0.17816739769712833,0.7068062827225131
ACI318-19,20.836097501323295,0.4195077321602825,2.314087553116871,0.8693467336683417,0.9346733668341709,0.756544502617801,0.9712041884816754,STEEL,0.7,1,382,273.0,0.9706967900059799,0.18389984260462694,0.612565445026178
ML-HistGB,17.21678979146776,0.2898784621573647,1.7856043409950688,0.9045226130653267,0.949748743718593,0.46596858638743455,0.4712041884816754,STEEL,0.7,2,382,273.0,1.6912587067357372,0.54435823446603,0.20680628272251309
ML-RF,18.199848489631023,0.34703335936020685,2.0018399221305967,0.8944723618090452,0.9346733668341709,0.4162303664921466,0.450261780104712,STEEL,0.7,2,382,273.0,1.9765312116663527,0.6184411709411896,0.17277486910994763
MCFT,18.49960673457906,0.37033990036841935,2.09736081740758,0.8894472361809045,0.9698492462311558,0.693717277486911,0.9659685863874345,STEEL,0.7,2,382,273.0,0.9560602964046727,0.17684220241614496,0.675392670157068
CSCT,19.48983935358703,0.36788970081695505,2.0871080541727216,0.914572864321608,0.9547738693467337,0.7539267015706806,0.9633507853403142,STEEL,0.7,2,382,273.0,1.062169440673657,0.17073637414530443,0.3743455497382199
fib-MC2010,18.31496559178767,0.368961683864625,2.0915875432987194,0.8894472361809045,0.964824120603015,0.6858638743455497,0.9554973821989529,STEEL,0.7,2,382,273.0,0.9483452946494891,0.17816739769712836,0.6910994764397905
