predictor,q_raw,q_ln,width_factor_ln,cov_raw_ind,cov_ln_ind,cov_raw_big,cov_ln_big,ds,thr,seed,n_big,d_hi,ooe_bias,ooe_cov,ooe_unsafe
ACI318-19,21.70874107381836,0.41630313765296556,2.299303555916445,0.949748743718593,0.949748743718593,0.7670157068062827,0.9712041884816754,STEEL,0.7,2,382,273.0,0.9633481133952365,0.18389984260462694,0.6256544502617801
ML-HistGB,17.648350848891013,0.2831334139459676,1.7616781126711853,0.9497716894977168,0.9360730593607306,0.33993399339933994,0.35973597359735976,STEEL,0.75,0,303,276.0,1.8324856604694657,0.5222557492839379,0.15841584158415842
ML-RF,18.43921587021559,0.35699408292819124,2.0421193504523525,0.9178082191780822,0.9360730593607306,0.3069306930693069,0.37623762376237624,STEEL,0.75,0,303,276.0,2.1658833783781084,0.5927857085926072,0.1188118811881188
MCFT,18.399440042698686,0.3283776515793191,1.9285246936218665,0.91324200913242,0.91324200913242,0.636963696369637,0.933993399339934,STEEL,0.75,0,303,276.0,0.91561644861916,0.1555327588026915,0.768976897689769
CSCT,20.3535211865493,0.33964102318558353,1.97246108815295,0.9223744292237442,0.9178082191780822,0.759075907590759,0.9702970297029703,STEEL,0.75,0,303,276.0,1.020659293508317,0.1514861000290174,0.45544554455445546
fib-MC2010,18.06926695862724,0.32153821528661286,1.9023242548244508,0.91324200913242,0.908675799086758,0.6237623762376238,0.9273927392739274,STEEL,0.75,0,303,276.0,0.907088424096778,0.15629453763833173,0.7722772277227723
ACI318-19,20.9807742507994,0.4053374730474073,2.249425715528545,0.8949771689497716,0.9360730593607306,0.7326732673267327,0.9702970297029703,STEEL,0.75,0,303,276.0,0.9730665898519459,0.1737914260432685,0.5907590759075908
ML-HistGB,14.640394472523923,0.25590934740010063,1.6683226071541946,0.8767123287671232,0.8904109589041096,0.3102310231023102,0.3069306930693069,STEEL,0.75,1,303,276.0,1.932588244977044,0.5348979929507018,0.12211221122112212
ML-RF,18.906955206889265,0.390644188527677,2.184284635619503,0.8812785388127854,0.9178082191780822,0.30033003300330036,0.3432343234323432,STEEL,0.75,1,303,276.0,2.3005662422574273,0.574337074336921,0.0924092409240924
MCFT,19.570366710214486,0.3239945138761011,1.9116926002047507,0.8904109589041096,0.8904109589041096,0.6534653465346535,0.9405940594059405,STEEL,0.75,1,303,276.0,0.9298867128272785,0.15553275880269152,0.7326732673267327
CSCT,19.626643449727972,0.32086476419765075,1.8997637349145278,0.8949771689497716,0.91324200913242,0.7491749174917491,0.9603960396039604,STEEL,0.75,1,303,276.0,1.0332790522498274,0.15148610002901744,0.40924092409240925
fib-MC2010,19.08520635522494,0.3215120225017163,1.9022246030946097,0.8858447488584474,0.8904109589041096,0.6402640264026402,0.9372937293729373,STEEL,0.75,1,303,276.0,0.9212435989016716,0.15629453763833173,0.7524752475247525
ACI318-19,19.40335526286333,0.4305659049886863,2.36583685672539,0.8538812785388128,0.9452054794520548,0.7029702970297029,0.9801980198019802,STEEL,0.75,1,303,276.0,0.9931108560238157,0.17379142604326855,0.5214521452145214
ML-HistGB,15.724698404174902,0.2530038212701491,1.6586560110472708,0.8812785388127854,0.8858447488584474,0.3333333333333333,0.33993399339933994,STEEL,0.75,2,303,276.0,1.8282369462502714,0.5131242209222651,0.132013201320132
ML-RF,22.1921964647146,0.3542134657578373,2.0307941663822002,0.9041095890410958,0.9223744292237442,0.3432343234323432,0.33993399339933994,STEEL,0.75,2,303,276.0,2.2761298860100787,0.6092991885919995,0.10891089108910891
MCFT,20.45441887636086,0.32650598220521765,1.921319067373455,0.9315068493150684,0.9360730593607306,0.6633663366336634,0.933993399339934,STEEL,0.75,2,303,276.0,0.9181320280368686,0.15553275880269152,0.7623762376237624
CSCT,22.611937793239008,0.3534857123435673,2.027840481681246,0.9178082191780822,0.9497716894977168,0.7788778877887789,0.9735973597359736,STEEL,0.75,2,303,276.0,1.0186375960287202,0.15148610002901744,0.46204620462046203
fib-MC2010,20.021330959912945,0.3327049460454461,1.9452877159930726,0.9315068493150684,0.9360730593607306,0.6468646864686468,0.9372937293729373,STEEL,0.75,2,303,276.0,0.9094807788552424,0.15629453763833176,0.7722772277227723
ACI318-19,21.892023594611196,0.389271320528799,2.178295392868622,0.9452054794520548,0.9315068493150684,0.7392739273927392,0.966996699669967,STEEL,0.75,2,303,276.0,0.9675402660708632,0.17379142604326853,0.5973597359735974
ML-HistGB,17.8306460344104,0.2779253177565175,1.7434233720335734,0.9531914893617022,0.9106382978723404,0.25316455696202533,0.3206751054852321,STEEL,0.8,0,237,300.0,2.013474062913897,0.5329246776253849,0.08860759493670886
ML-RF,22.345777549196015,0.34464697381185516,1.9923083624797784,0.9574468085106383,0.9234042553191489,0.22784810126582278,0.26582278481012656,STEEL,0.8,0,237,300.0,2.3174116052553457,0.5295516545218838,0.029535864978902954
MCFT,18.660002379246052,0.35120613227560415,2.0186162754895367,0.9234042553191489,0.9319148936170213,0.5654008438818565,0.9451476793248945,STEEL,0.8,0,237,300.0,0.912700143892873,0.1604523428729919,0.7932489451476793
CSCT,18.400893961065805,0.3235820009062631,1.910116054655807,0.9191489361702128,0.9361702127659575,0.6751054852320675,0.9535864978902954,STEEL,0.8,0,237,300.0,1.0294084143210671,0.15501645194005698,0.4388185654008439
fib-MC2010,18.341156362175738,0.351586563349668,2.0201527486531634,0.9234042553191489,0.9319148936170213,0.5443037974683544,0.9409282700421941,STEEL,0.8,0,237,300.0,0.9028255043931428,0.16160214752360344,0.8059071729957806
ACI318-19,21.945530684487913,0.40593809854263574,2.2521294640124285,0.9319148936170213,0.9319148936170213,0.6919831223628692,0.9746835443037974,STEEL,0.8,0,237,300.0,0.9936318642931767,0.17151523950896996,0.5274261603375527
ML-HistGB,13.57942730642263,0.2627645441782436,1.6913534871234908,0.8765957446808511,0.9106382978723404,0.16877637130801687,0.20675105485232068,STEEL,0.8,1,237,300.0,2.1816047307945547,0.5186248583015376,0.03375527426160337
ML-RF,15.877003129631156,0.3645513841178938,2.073219614435585,0.8425531914893617,0.8893617021276595,0.11814345991561181,0.20253164556962025,STEEL,0.8,1,237,300.0,2.5802615066385703,0.5239022164123482,0.008438818565400843
MCFT,14.824373579472109,0.28043182440520287,1.7521851196103069,0.8127659574468085,0.8680851063829788,0.5189873417721519,0.8734177215189873,STEEL,0.8,1,237,300.0,0.923589493956673,0.1604523428729919,0.7637130801687764
CSCT,16.31645468166041,0.3015207173075476,1.8276690917284328,0.851063829787234,0.8851063829787233,0.620253164556962,0.9367088607594937,STEEL,0.8,1,237,300.0,1.0337768963800025,0.15501645194005698,0.4345991561181435
fib-MC2010,14.452672094715801,0.2858645655183927,1.7713272618636355,0.8085106382978723,0.8723404255319149,0.48945147679324896,0.8776371308016878,STEEL,0.8,1,237,300.0,0.9137867215493146,0.16160214752360344,0.7890295358649789
ACI318-19,17.787483214740732,0.4044669020015892,2.245512553407457,0.8170212765957446,0.9234042553191489,0.6244725738396625,0.9704641350210971,STEEL,0.8,1,237,300.0,1.0258323038335608,0.17151523950896996,0.43037974683544306
ML-HistGB,17.690466966701294,0.23804577960787654,1.6097703985264493,0.9234042553191489,0.9106382978723404,0.24050632911392406,0.2616033755274262,STEEL,0.8,2,237,300.0,1.9473110490706775,0.49703434399542257,0.05907172995780591
ML-RF,19.847212538841177,0.32051695446920814,1.8984426818254223,0.9148936170212766,0.902127659574468,0.19831223628691982,0.21940928270042195,STEEL,0.8,2,237,300.0,2.426077560125427,0.5544430996185711,0.0379746835443038
MCFT,20.63789305363065,0.3114541551122767,1.8643422505601976,0.9276595744680851,0.9234042553191489,0.5907172995780591,0.9156118143459916,STEEL,0.8,2,237,300.0,0.9103576331664358,0.1604523428729919,0.8016877637130801
CSCT,22.647734771271118,0.3158177717712465,1.8806840057989178,0.9319148936170213,0.9319148936170213,0.7341772151898734,0.9409282700421941,STEEL,0.8,2,237,300.0,1.0219195720375662,0.15501645194005695,0.45147679324894513
fib-MC2010,21.40235658212181,0.3142308183700888,1.8747243527345783,0.9319148936170213,0.9276595744680851,0.5780590717299579,0.9029535864978903,STEEL,0.8,2,237,300.0,0.9004038205445609,0.16160214752360347,0.8059071729957806
ACI318-19,22.37235035757685,0.37338633276303557,2.1101787626324855,0.9361702127659575,0.9234042553191489,0.70042194092827,0.9620253164556962,STEEL,0.8,2,237,300.0,0.9920066875940582,0.17151523950896996,0.5274261603375527
