model,thr,seed,interp,extrap
HistGB,0.7,0,0.8548387096774194,0.205607476635514
RF,0.7,0,0.8387096774193549,0.09345794392523364
HistGB,0.7,1,0.9354838709677419,0.19626168224299065
RF,0.7,1,0.8709677419354839,0.11214953271028037
HistGB,0.7,2,0.9516129032258065,0.3177570093457944
RF,0.7,2,0.8870967741935484,0.37383177570093457
HistGB,0.75,0,0.8939393939393939,0.1797752808988764
RF,0.75,0,0.8787878787878788,0.12359550561797752
HistGB,0.75,1,0.8939393939393939,0.19101123595505617
RF,0.75,1,0.8939393939393939,0.14606741573033707
HistGB,0.75,2,0.9242424242424242,0.16853932584269662
RF,0.75,2,0.8484848484848485,0.39325842696629215
HistGB,0.8,0,0.9852941176470589,0.5975609756097561
RF,0.8,0,0.9852941176470589,0.5121951219512195
HistGB,0.8,1,0.9558823529411765,0.35365853658536583
RF,0.8,1,0.9411764705882353,0.4634146341463415
HistGB,0.8,2,0.8529411764705882,0.23170731707317074
RF,0.8,2,0.8823529411764706,0.4878048780487805
